beneficiary_id,receiver_account,receiver_name,bank_name,country,risk_rating,fraud_link_count,sanction_match_flag,created_at
BENE_00001,GB33KGTX53321291998138,Connor Thompson,Taylor-Church Bank,Slovenia,Low,0,False,2025-10-22 12:32:55.516588
BENE_00002,GB83WBOY64717332368515,Robert Drake,Gutierrez PLC Bank,Peru,Low,1,False,2024-11-02 12:32:55.516764
BENE_00003,GB93VZDV21044768385805,April Williams,"Brown, Larsen and Hall Bank",Niger,High,0,False,2025-02-04 12:32:55.517008
BENE_00004,GB63ALBS08971713562754,Samantha Anderson,Wright and Sons Bank,Barbados,High,1,False,2025-08-09 12:32:55.517162
BENE_00005,GB46KIXZ04365112387015,Paul Powell,"Johnson, King and Phillips Bank",Cambodia,Low,0,False,2025-08-15 12:32:55.517395
BENE_00006,GB88YVCR54381150742091,Jesse Hampton,Davis-Grant Bank,Niger,Low,0,False,2024-07-15 12:32:55.517587
BENE_00007,GB27TMHA47633985834075,Carl Hendricks,Mullins-Wilson Bank,Rwanda,Low,1,False,2023-11-19 12:32:55.517781
BENE_00008,GB29PQJH26003429286149,Phillip Garcia,Riley Ltd Bank,Comoros,Medium,0,False,2025-01-06 12:32:55.517929
BENE_00009,GB41TRSN96185028870337,Patricia Frye,Fisher Group Bank,Central African Republic,High,0,False,2025-12-11 12:32:55.518078
BENE_00010,GB37TJNT60331409440368,Mitchell Potts,Garcia-Thompson Bank,United Arab Emirates,Low,0,False,2025-08-21 12:32:55.518267
BENE_00011,GB41HVSB75250377765850,Joshua Henderson,"Perez, Bennett and Ross Bank",Northern Mariana Islands,Low,0,False,2024-11-27 12:32:55.518497
BENE_00012,GB54FUNU21543853041887,Joseph Benitez,Martinez Ltd Bank,Falkland Islands (Malvinas),Low,0,False,2023-09-24 12:32:55.518642
BENE_00013,GB89UGSW21853703074272,Anthony Harris,"Monroe, Duran and Grant Bank",Tunisia,Low,0,False,2025-10-11 12:32:55.518871
BENE_00014,GB08QXBP59383926325038,Lisa Sullivan,Mosley-Wong Bank,Norfolk Island,Medium,1,False,2025-02-10 12:32:55.519057
BENE_00015,GB67TQZA34985205736477,Jane Jacobs,Bell and Sons Bank,Serbia,Low,1,False,2024-01-23 12:32:55.519208
BENE_00016,GB59IHBW94581085858253,Connie Petersen,"Adams, Frederick and Meadows Bank",Central African Republic,Medium,0,False,2024-10-20 12:32:55.519437
BENE_00017,GB35JXSS36883762650764,Tammy Scott,"Lewis, Conley and Mcbride Bank",Micronesia,Low,1,False,2025-01-08 12:32:55.519667
BENE_00018,GB91BFPA94854541491168,Robert Holden,"Wise, Jordan and Rose Bank",Nauru,Low,0,False,2025-08-03 12:32:55.519901
BENE_00019,GB89LYXL83192927302945,David Baker,Payne-Carter Bank,Nicaragua,Low,0,False,2025-11-30 12:32:55.520086
BENE_00020,GB36FCXM59315399000811,Michael Hanson,"Richards, Harrison and Melton Bank",Tunisia,Medium,0,False,2023-11-23 12:32:55.520315
BENE_00021,GB24OINU29429217590390,Jeffrey Zimmerman,Robinson PLC Bank,Russian Federation,Medium,0,False,2024-03-19 12:32:55.520457
BENE_00022,GB47EQWZ45373263773430,Shelley Pope,Stafford LLC Bank,Bangladesh,Medium,0,False,2024-12-20 12:32:55.520603
BENE_00023,GB39PPKW54370695459596,Randall Scott,"Brown, Baker and Solis Bank",Cook Islands,Low,0,False,2025-12-31 12:32:55.520831
BENE_00024,GB26LAAM00022585664603,Todd Coffey,Dunn Group Bank,Netherlands Antilles,High,0,False,2025-05-24 12:32:55.520973
BENE_00025,GB52VLET67824984348816,Michael Little,Martinez-Moreno Bank,France,Medium,0,False,2023-11-30 12:32:55.521157
BENE_00026,GB98XDHA25626083593994,David Torres,"Green, Greene and Thomas Bank",Gibraltar,High,0,False,2024-04-17 12:32:55.521381
BENE_00027,GB61JTKH30050682616359,Jennifer Logan,Anderson and Sons Bank,Portugal,High,1,False,2025-01-10 12:32:55.521526
BENE_00028,GB02XHMU01872812961357,Tommy Porter MD,"Greene, Williamson and Ramirez Bank",Iraq,High,0,False,2024-07-12 12:32:55.521760
BENE_00029,GB79HLLO85038944991261,Miranda Ross,Hernandez LLC Bank,Svalbard & Jan Mayen Islands,Low,0,False,2023-11-24 12:32:55.521905
BENE_00030,GB46EYEO18518619571414,Kelly Owens,Carpenter-Scott Bank,Gibraltar,Medium,0,False,2023-11-07 12:32:55.522091
BENE_00031,GB70GAYE21517513592468,Darryl Davis,Odonnell Inc Bank,Bulgaria,Medium,1,False,2024-06-04 12:32:55.522234
BENE_00032,GB39VZXC78428948796555,Vanessa Johnson,"Phillips, Vasquez and Young Bank",Namibia,Low,1,False,2024-07-22 12:32:55.522460
BENE_00033,GB04WCCL57630657032619,Daniel Ayers,"Larson, Sanders and Hall Bank",South Africa,High,0,False,2025-02-07 12:32:55.522688
BENE_00034,GB48MSHF69280722298124,Sara Vazquez,"Sosa, Benson and Fowler Bank",Ukraine,Medium,0,False,2025-10-11 12:32:55.522916
BENE_00035,GB78KHVN04855673953874,Elizabeth Williams,"Knapp, King and Riddle Bank",Denmark,Low,1,False,2024-01-12 12:32:55.523147
BENE_00036,GB69TXOG69117557421730,Cheyenne Cobb,"Smith, Warren and Campbell Bank",Comoros,High,1,False,2024-03-08 12:32:55.523378
BENE_00037,GB80BUPP39247652538630,Erika Lyons,Lewis-Miller Bank,Costa Rica,Low,0,False,2024-03-17 12:32:55.523565
BENE_00038,GB36UDAZ19973791574882,Travis Lane,Jennings-Hendricks Bank,Bulgaria,High,0,False,2025-06-16 12:32:55.523752
BENE_00039,GB23RALV25722385132899,Jennifer Page,Clayton-Marquez Bank,China,Medium,0,False,2025-12-22 12:32:55.523938
BENE_00040,GB66EQPO12772323216787,Daniel Carroll,Powell-Carpenter Bank,Honduras,Low,0,False,2024-12-14 12:32:55.524119
BENE_00041,GB47PIYK41439517463729,Carol Jones,Lowery Ltd Bank,Algeria,Medium,0,False,2025-08-28 12:32:55.524267
BENE_00042,GB34UCML82610566283073,Shirley Fleming,Black LLC Bank,Bahamas,Low,0,False,2024-10-17 12:32:55.524412
BENE_00043,GB83BNCR25282252821518,Jacob Baker,Dorsey Inc Bank,Philippines,Low,0,False,2025-03-18 12:32:55.524553
BENE_00044,GB17ZEHR59314840759034,Whitney Green,Maxwell-Hamilton Bank,Georgia,High,0,False,2025-02-17 12:32:55.524742
BENE_00045,GB34JRUS87901714385971,Christopher Barnett,Ritter-Keller Bank,Tuvalu,Medium,0,False,2024-11-22 12:32:55.524925
BENE_00046,GB24RDEA43198099375885,Elizabeth Bowman,Taylor-Ellison Bank,Peru,Low,0,False,2025-12-01 12:32:55.525110
BENE_00047,GB81GZMD80242990372321,Sherry Pham,Lewis Inc Bank,Palau,Low,0,False,2025-08-21 12:32:55.525255
BENE_00048,GB59SSLL26525508727394,Nancy Lee,Reyes PLC Bank,Uruguay,Low,0,False,2024-08-02 12:32:55.525398
BENE_00049,GB02ECFY29225755521597,Jocelyn Harris,"Decker, Hawkins and Edwards Bank",Sudan,Medium,0,False,2025-12-31 12:32:55.525624
BENE_00050,GB69OTMT41139393813802,James Gonzales,Smith Ltd Bank,Iran,High,1,False,2025-01-21 12:32:55.525768
BENE_00051,GB31GEYY00535149842289,Kenneth Walter,Wilson PLC Bank,Slovenia,High,0,False,2025-01-26 12:32:55.525910
BENE_00052,GB11PYSB78347364625769,Michael Clarke,Sutton and Sons Bank,Antarctica (the territory South of 60 deg S),Low,0,False,2023-10-19 12:32:55.526056
