customer_id,customer_name,email,phone_number,account_number,date_of_birth,gender,account_type,account_open_date,account_age_days,nationality,country,city,address,occupation,annual_income,kyc_status,customer_risk_rating,previous_fraud_flag,fraud_incident_count,created_at,updated_at
CUST_00001,Alexandria Graves,jrodriguez@example.org,1914856467997,GB78BFIM29960653074505,1996-12-11,Prefer not to say,Checking,2024-01-02,894,Gabon,Georgia,Meganville,"Unit 3247 Box 5469, DPO AP 12204",Emergency planning/management officer,160604.33,Verified,Medium,False,0,2024-01-02 12:32:54.686300,2026-06-13 12:32:54.686304
CUST_00002,Jennifer Washington,lori82@example.org,8628902330307,GB79BLWG45786103579727,1982-06-04,Female,Business,2023-08-15,1034,Guernsey,Guatemala,Port Patricia,"0602 Mercedes Rue, Lake Jamie, SD 54175",Scientific laboratory technician,231691.54,Verified,Low,False,0,2023-08-15 12:32:54.687056,2026-05-30 12:32:54.687059
CUST_00003,Patricia Smith,deborahburke@example.org,4944665743748,GB08TMSD08589944171545,1999-09-22,Other,Premium,2021-07-19,1791,Eritrea,Palau,Jacobhaven,"652 Diana Hill, Rebeccafurt, MS 97065",Animal technologist,22842.85,Failed,Medium,False,0,2021-07-19 12:32:54.687827,2026-05-26 12:32:54.687830
CUST_00004,Rose Cooper DDS,qknox@example.com,2824172482513,GB05LHXJ65549471709991,1975-03-15,Female,Premium,2024-04-25,780,Congo,Macao,Port Erinhaven,"23569 Thomas Wall, Port Christopher, MA 83211","Editor, film/video",139392.93,Failed,Low,False,0,2024-04-25 12:32:54.688541,2026-05-31 12:32:54.688544
CUST_00005,Jesse Clark,barbaramoore@example.org,9666676008350,GB63KYQG00335421689421,1997-05-09,Female,Business,2022-12-28,1264,French Southern Territories,Yemen,Stephenhaven,"2575 Frederick Valleys Suite 033, East Jessica, OR 66644","Doctor, general practice",99522.38,Pending,Low,False,0,2022-12-28 12:32:54.689288,2026-05-18 12:32:54.689290
CUST_00006,Rebecca Brooks,kelsey90@example.net,1001676184723,GB77WVUA46184992618914,1952-08-19,Male,Savings,2022-01-20,1606,Botswana,Luxembourg,New James,"6420 Lozano Spurs, Riveratown, AL 88533",Chartered public finance accountant,167981.7,Verified,Medium,False,0,2022-01-20 12:32:54.689980,2026-05-17 12:32:54.689983
CUST_00007,Maureen Hernandez,chancharles@example.net,4374470120455,GB84NXDD00225579415521,1970-09-13,Prefer not to say,Checking,2025-11-28,198,Korea,Faroe Islands,Vaughnfort,"20216 Pham Springs, Whitefurt, WI 47503",Veterinary surgeon,37219.01,Pending,Low,False,0,2025-11-28 12:32:54.690767,2026-06-06 12:32:54.690769
CUST_00008,Sara Mcpherson,timothyfreeman@example.com,0145089935889,GB28DNVX37562890028772,1950-03-02,Other,Savings,2021-08-03,1776,Liechtenstein,Gibraltar,West Tara,"663 Stephen Unions, Millerfort, NV 41927",Commissioning editor,136593.75,Failed,Medium,False,0,2021-08-03 12:32:54.691493,2026-06-01 12:32:54.691495
CUST_00009,Alicia Powell,hawkinsaaron@example.org,8837550375899,GB04PWVL71130554885102,1976-06-22,Female,Savings,2026-04-10,65,Swaziland,Saint Barthelemy,Rodriguezborough,"73516 Sara Villages Apt. 779, South Adam, WA 06867",Surgeon,125591.76,Failed,Low,False,0,2026-04-10 12:32:54.692231,2026-06-11 12:32:54.692233
CUST_00010,Karen Romero,heatherthompson@example.org,6995866934654,GB43OZEE69848583339452,2007-04-11,Prefer not to say,Premium,2026-01-18,147,Pakistan,Christmas Island,Jenniferstad,"846 Alexandra Burg Suite 200, West Karen, GA 38068",Fitness centre manager,47302.58,Pending,Medium,False,0,2026-01-18 12:32:54.692949,2026-05-24 12:32:54.692951
