entity_id,entity_name,entity_type,country,sanction_source,sanction_category,reason_for_sanction,risk_level,pep_flag,fraudster_flag,blacklist_flag,regulatory_reference,effective_date,expiry_date,status,created_at,updated_at
SANC_00001,"Guzman, Hoffman and Baldwin",Individual,Syria,UN,Narcotics,Information last everything thank serve civil institution.,High,True,True,True,REG-2025-189,2023-11-20,2024-12-21,Active,2026-02-19 12:32:54.590512,2026-06-02 12:32:54.590522
SANC_00002,Phillip Garcia,Vessel,Bermuda,OFAC,Narcotics,Benefit suggest page southern role movie.,Critical,True,False,True,REG-2025-384,2024-01-02,2025-01-07,Active,2025-02-11 12:32:54.591144,2026-05-24 12:32:54.591152
SANC_00003,Miller-Carter,Organization,Saint Pierre and Miquelon,EU,Narcotics,Peace technology officer relate animal direction eye bag.,Critical,True,True,True,REG-2024-199,2025-05-24,2027-05-11,Active,2025-05-01 12:32:54.591745,2026-05-11 12:32:54.591752
SANC_00004,James Group,Vessel,Benin,OFAC,Regime Sanctions,Class great prove reduce raise author.,High,False,False,True,REG-2025-296,2023-11-30,2025-01-14,Active,2025-04-02 12:32:54.592147,2026-05-15 12:32:54.592153
SANC_00005,"Daniel, Martin and Gray",Individual,Burundi,OFAC,Regime Sanctions,Detail food shoulder argue start source husband.,Critical,False,False,True,REG-2022-479,2024-09-19,2027-08-06,Active,2025-10-21 12:32:54.592885,2026-03-16 12:32:54.592891
SANC_00006,"Walter, Edwards and Rios",Vessel,Anguilla,EU,Narcotics,Those poor central cause seat much.,High,False,False,True,REG-2023-755,2023-08-01,2025-03-12,Active,2025-03-21 12:32:54.593579,2026-05-03 12:32:54.593585
SANC_00007,Hurst-Ross,Individual,Burundi,OFAC,Cyber Crime,Young catch management sense technology.,Critical,False,True,True,REG-2022-680,2024-12-10,2026-10-28,Active,2025-11-18 12:32:54.594090,2026-03-22 12:32:54.594096
SANC_00008,Michael Carlson,Vessel,Benin,EU,Cyber Crime,High you more wife team activity.,High,True,False,True,REG-2025-538,2023-10-03,2025-11-14,Active,2025-09-02 12:32:54.594538,2026-05-16 12:32:54.594543
SANC_00009,"Dyer, Potter and Mack",Individual,Jamaica,UKHM,Terrorism Financing,Born itself law west then enjoy.,High,True,True,True,REG-2022-911,2024-11-21,2027-07-24,Active,2026-02-02 12:32:54.595201,2026-04-25 12:32:54.595206
SANC_00010,Thomas Harrell,Organization,Jamaica,UN,Terrorism Financing,Success medical current hear claim.,High,False,False,True,REG-2021-400,2024-06-13,2026-09-20,Active,2026-03-05 12:32:54.595623,2026-03-13 12:32:54.595628
SANC_00011,"Sellers, George and Burns",Organization,Jamaica,EU,Terrorism Financing,Upon these story film.,Critical,True,True,True,REG-2023-880,2025-05-10,,Active,2025-02-01 12:32:54.596283,2026-04-07 12:32:54.596289
SANC_00012,"Arroyo, Miller and Tucker",Vessel,Philippines,UKHM,Terrorism Financing,Within mouth call process.,High,False,False,True,REG-2022-159,2023-07-26,,Active,2025-05-20 12:32:54.596953,2026-06-03 12:32:54.596960
SANC_00013,Joseph Obrien,Organization,Anguilla,EU,Narcotics,Up sense ready require human.,Critical,True,False,True,REG-2025-993,2025-05-05,2026-12-07,Active,2025-06-03 12:32:54.597371,2026-03-09 12:32:54.597377
SANC_00014,Kim-Holmes,Individual,Russia,UN,Regime Sanctions,Easy ask again network.,Critical,False,False,True,REG-2021-353,2024-10-16,,Active,2025-09-14 12:32:54.597875,2026-06-11 12:32:54.597880
SANC_00015,Jones Ltd,Individual,Antarctica (the territory South of 60 deg S),EU,Terrorism Financing,Director town teacher audience.,High,True,True,True,REG-2021-132,2024-08-16,2025-10-27,Active,2025-06-16 12:32:54.598221,2026-05-14 12:32:54.598226
SANC_00016,Cindy Anderson,Organization,Czech Republic,EU,Regime Sanctions,Office drug list imagine behind probably great.,High,False,False,True,REG-2022-196,2023-12-04,,Active,2025-07-29 12:32:54.598683,2026-04-29 12:32:54.598689
SANC_00017,Amy Valdez,Organization,Syria,OFAC,Terrorism Financing,Art rock song body.,High,False,False,True,REG-2021-354,2024-04-09,,Active,2025-06-05 12:32:54.599110,2026-04-17 12:32:54.599116
SANC_00018,Brenda White,Individual,Saint Pierre and Miquelon,UKHM,Narcotics,Economic type kitchen technology nearly anything yourself.,High,False,True,True,REG-2021-767,2023-10-31,2024-11-14,Active,2026-01-18 12:32:54.599551,2026-03-09 12:32:54.599557
SANC_00019,House and Sons,Individual,Mayotte,UKHM,Regime Sanctions,Image loss ten total.,High,False,True,True,REG-2022-488,2025-02-13,,Active,2025-08-19 12:32:54.599925,2026-05-11 12:32:54.599932
SANC_00020,Galloway LLC,Organization,Bosnia and Herzegovina,UKHM,Regime Sanctions,Expect recent room situation product main couple.,High,True,False,True,REG-2022-159,2023-10-12,2026-04-19,Active,2026-02-03 12:32:54.600286,2026-03-10 12:32:54.600292
SANC_00021,Noah Brown,Individual,Antarctica (the territory South of 60 deg S),UKHM,Narcotics,Arm once me system church whether.,High,True,True,True,REG-2021-709,2023-11-19,,Active,2025-11-06 12:32:54.600715,2026-04-23 12:32:54.600721
SANC_00022,Kurt Leonard,Vessel,Burundi,OFAC,Terrorism Financing,Identify walk now often always.,Critical,False,False,True,REG-2022-785,2023-08-11,2025-04-11,Active,2025-10-22 12:32:54.601126,2026-04-24 12:32:54.601131
SANC_00023,Krystal Stewart,Vessel,Bosnia and Herzegovina,UKHM,Cyber Crime,Daughter respond draw how public.,High,True,False,True,REG-2025-676,2023-08-12,2024-10-25,Active,2025-06-04 12:32:54.601561,2026-05-17 12:32:54.601567
SANC_00024,Hickman-Walls,Individual,Saint Vincent and the Grenadines,OFAC,Narcotics,Leader your you.,Critical,False,True,True,REG-2024-953,2024-01-18,2025-11-22,Active,2025-04-27 12:32:54.602062,2026-03-22 12:32:54.602067
SANC_00025,Wagner and Sons,Vessel,Antigua and Barbuda,UN,Terrorism Financing,Thing these hard citizen street region.,High,False,True,True,REG-2021-860,2023-08-06,2025-05-10,Active,2025-10-13 12:32:54.602402,2026-03-28 12:32:54.602407
SANC_00026,Miss Aimee Montoya,Organization,Czech Republic,UN,Regime Sanctions,Use billion there enough threat.,Critical,True,True,True,REG-2024-949,2024-09-02,,Active,2026-03-05 12:32:54.602841,2026-05-02 12:32:54.602846
