beneficiary_id,receiver_account,receiver_name,bank_name,country,risk_rating,fraud_link_count,sanction_match_flag,created_at
BENE_00001,GB80RASN41863673779354,Emma Williams,"Carpenter, Smith and Smith Bank",Chile,Low,0,False,2025-10-21 12:04:50.543171
BENE_00002,GB46YJTD24128048957831,Alexa Chen,Vargas-Berry Bank,Tuvalu,Low,1,False,2024-11-01 12:04:50.543171
BENE_00003,GB58PKEZ65822806420433,Brandy Wright,Calhoun-Taylor Bank,Sierra Leone,High,0,False,2025-02-03 12:04:50.543171
BENE_00004,GB43BNSR83520078687203,Thomas Salinas,Mcconnell Inc Bank,France,High,1,False,2025-08-08 12:04:50.544172
BENE_00005,GB39KCTR22167263250325,David Ward,Washington Group Bank,Grenada,Low,0,False,2025-08-14 12:04:50.544172
BENE_00006,GB35NUZT97939828025626,Andrew Lawrence,Perez Group Bank,Equatorial Guinea,Low,0,False,2024-07-14 12:04:50.544676
BENE_00007,GB12KZKQ17424416586344,Christopher Johnston,"Le, Rodgers and Wright Bank",Honduras,Low,1,False,2023-11-18 12:04:50.544676
BENE_00008,GB52JIGB14387636476439,Christopher Morrison,Rivera LLC Bank,Bahrain,Medium,0,False,2025-01-05 12:04:50.544676
BENE_00009,GB77XFGV33641909370305,Diana Hart,Miller Inc Bank,North Macedonia,High,0,False,2025-12-10 12:04:50.544676
BENE_00010,GB82TKDM97816864720817,Dr. Annette Nichols,Taylor and Sons Bank,United States of America,Low,0,False,2025-08-20 12:04:50.545681
BENE_00011,GB69PJEG28128318445694,Anna Burgess,Chan PLC Bank,Maldives,Low,0,False,2024-11-26 12:04:50.545681
BENE_00012,GB24OWVW10714217181520,Beth Gray,"Miranda, Campbell and Cain Bank",New Caledonia,Low,0,False,2023-09-23 12:04:50.545681
BENE_00013,GB55EDQA35306825753365,Kayla Gibson,"Payne, Underwood and Barrett Bank",Jamaica,Low,0,False,2025-10-10 12:04:50.546686
BENE_00014,GB42TACD42747999637602,Jason Horton,Carroll-Holt Bank,Bouvet Island (Bouvetoya),Medium,1,False,2025-02-09 12:04:50.546686
BENE_00015,GB36TTBR57443049156087,Bonnie Hernandez,Cook LLC Bank,Maldives,Low,1,False,2024-01-22 12:04:50.546686
BENE_00016,GB92YCUB45242784819285,William Baker,"Gomez, Bridges and Clayton Bank",South Africa,Medium,0,False,2024-10-19 12:04:50.546686
BENE_00017,GB75SOFZ92779954202594,David Quinn,"Bell, Owens and Martin Bank",Nicaragua,Low,1,False,2025-01-07 12:04:50.547686
BENE_00018,GB12SZOK32424942096257,Garrett Hays,Kidd-Singh Bank,Palau,Low,0,False,2025-08-02 12:04:50.547686
BENE_00019,GB59GUUY15986667469196,Scott King,Gonzalez-Porter Bank,Belgium,Low,0,False,2025-11-29 12:04:50.547686
BENE_00020,GB80MELQ42023424422991,Brandi Hicks,Martinez-Delacruz Bank,Reunion,Medium,0,False,2023-11-22 12:04:50.547686
BENE_00021,GB81EUEE24930459818150,Taylor Oneal,"Phillips, Bender and Alvarez Bank",Luxembourg,Medium,0,False,2024-03-18 12:04:50.547686
BENE_00022,GB91CRKP24872398579420,Danielle Hughes,Russell Inc Bank,Palau,Medium,0,False,2024-12-19 12:04:50.549191
BENE_00023,GB83BBNL38167528977789,Kenneth Garcia,"Mitchell, Davis and Brown Bank",Timor-Leste,Low,0,False,2025-12-30 12:04:50.549191
BENE_00024,GB33YIOU03414247993956,Ebony West,Ray Group Bank,Iceland,High,0,False,2025-05-23 12:04:50.549191
BENE_00025,GB54ISKR33909143318753,Erin Gomez,Kennedy-Martin Bank,Puerto Rico,Medium,0,False,2023-11-29 12:04:50.550198
BENE_00026,GB82XIGJ70674716956860,Jonathan Hickman,Simpson PLC Bank,Finland,High,0,False,2024-04-16 12:04:50.550198
BENE_00027,GB69IEDK67398526082300,Todd Tucker,Turner-Cruz Bank,Luxembourg,High,1,False,2025-01-09 12:04:50.550198
