customer_id,customer_name,email,phone_number,account_number,date_of_birth,gender,account_type,account_open_date,account_age_days,nationality,country,city,address,occupation,annual_income,kyc_status,customer_risk_rating,previous_fraud_flag,fraud_incident_count,created_at,updated_at
CUST_00001,Derek Wright,bellkristin@example.net,0676267658617,GB05ZSUY32710405411526,1956-05-25,Prefer not to say,Checking,2024-04-20,784,Saint Martin,Belarus,West Brookefort,"296 Brian Isle Apt. 368, Donnaport, IA 13072",Artist,160604.33,Verified,Medium,False,0,2024-04-20 12:04:49.194164,2026-06-12 12:04:49.194164
CUST_00002,Sara Hernandez,adam14@example.net,3103241714677,GB08VICU86256527047743,2002-05-30,Female,Business,2024-10-14,607,Ethiopia,Mongolia,East Karenville,"693 Mary Viaduct Suite 879, South Kent, MO 94126",Animal nutritionist,231691.54,Verified,Low,False,0,2024-10-14 12:04:49.195171,2026-05-29 12:04:49.195171
CUST_00003,Kellie Duncan,davidtodd@example.org,3320616329451,GB92CMRM85487099861622,1984-01-02,Other,Premium,2025-09-18,268,Namibia,Myanmar,North Annaville,"4679 Johnson Harbor Suite 299, Williamsmouth, UT 31640",Artist,22842.85,Failed,Medium,False,0,2025-09-18 12:04:49.196176,2026-05-25 12:04:49.196176
CUST_00004,Stephanie Smith,larry71@example.org,4754691373678,GB80LBQZ21486289023303,1947-09-12,Female,Premium,2025-06-27,351,Korea,Australia,Janetview,"610 Nathan Ranch Suite 279, Maxview, WA 90790",Chemical engineer,139392.93,Failed,Low,False,0,2025-06-27 12:04:49.196176,2026-05-30 12:04:49.196176
CUST_00005,Anthony Nash,mercedesholland@example.net,4680072290349,GB95ZJWW46657437489691,1945-12-12,Female,Business,2023-11-14,942,Malawi,Panama,Annaport,"1545 Green Station, Jacobhaven, WV 31997",Barista,99522.38,Pending,Low,False,0,2023-11-14 12:04:49.197182,2026-05-17 12:04:49.197182
CUST_00006,Melanie Griffith,qbright@example.com,6099353875842,GB04VRFJ17248251353465,1970-09-28,Male,Savings,2024-11-18,572,Eritrea,Myanmar,Stevenville,"3816 Gutierrez Ways, East Victoria, MA 54134","Teacher, early years/pre",167981.7,Verified,Medium,False,0,2024-11-18 12:04:49.197182,2026-05-16 12:04:49.197182
CUST_00007,Scott White,freemancrystal@example.org,0074329271296,GB77UNMN76008350583003,1960-11-04,Prefer not to say,Checking,2025-05-03,406,Puerto Rico,Turkey,Larryville,"10447 Hamilton Spur Apt. 575, East Stacy, PW 53374",Advertising account executive,37219.01,Pending,Low,False,0,2025-05-03 12:04:49.198183,2026-06-05 12:04:49.198183
CUST_00008,William Clark,lawrencegary@example.com,6489090100167,GB38MDRI72304618499261,1980-04-05,Other,Savings,2023-05-22,1118,Saint Helena,Niger,West Danielville,"8356 Martin Plaza, Lozanofort, MA 31238","Accountant, chartered",136593.75,Failed,Medium,False,0,2023-05-22 12:04:49.199184,2026-05-31 12:04:49.199184
CUST_00009,Susan Conley,fhernandez@example.net,1437447012045,GB63ZVKN11002255794155,1957-11-22,Female,Savings,2021-07-21,1788,Brazil,Iran,Riversview,"2120 Dale Ramp Suite 972, Maxwelltown, VI 90215","Conservator, furniture",125591.76,Failed,Low,False,0,2021-07-21 12:04:49.199689,2026-06-10 12:04:49.199689
CUST_00010,Ashley Jenkins,browndiana@example.org,5889163756289,GB90BAUF87721753540838,1989-03-23,Prefer not to say,Premium,2025-07-21,327,Honduras,Iraq,North Stephen,"77517 Curtis Loop Apt. 880, Port Cassandraport, FM 67129","Surveyor, planning and development",47302.58,Pending,Medium,False,0,2025-07-21 12:04:49.199689,2026-05-23 12:04:49.199689
