entity_id,entity_name,entity_type,country,sanction_source,sanction_category,reason_for_sanction,risk_level,pep_flag,fraudster_flag,blacklist_flag,regulatory_reference,effective_date,expiry_date,status,created_at,updated_at
SANC_00001,Wagner Inc,Individual,Syria,UN,Narcotics,Current practice nation determine operation speak according.,High,True,True,True,REG-2025-189,2023-11-29,2024-12-30,Active,2026-02-18 12:04:49.110503,2026-06-01 12:04:49.110503
SANC_00002,Jay Ramirez,Vessel,Bermuda,OFAC,Narcotics,Whatever from behavior benefit suggest.,Critical,True,False,True,REG-2025-384,2025-02-27,2026-03-05,Active,2025-02-10 12:04:49.110503,2026-05-23 12:04:49.110503
SANC_00003,Roman-Blair,Organization,Saint Pierre and Miquelon,EU,Narcotics,By two bad fall pick those gun.,Critical,True,True,True,REG-2024-199,2024-09-23,2026-09-10,Active,2025-04-30 12:04:49.110503,2026-05-10 12:04:49.110503
SANC_00004,"Jones, Stanley and Mejia",Vessel,Benin,OFAC,Regime Sanctions,Talk term herself law.,High,False,False,True,REG-2025-296,2023-11-09,2024-12-24,Active,2025-04-01 12:04:49.111504,2026-05-14 12:04:49.111504
SANC_00005,Martin-Kelly,Individual,Burundi,OFAC,Regime Sanctions,Reduce raise author play move.,Critical,False,False,True,REG-2022-479,2025-03-21,2028-02-05,Active,2025-10-20 12:04:49.111504,2026-03-15 12:04:49.111504
SANC_00006,Ford LLC,Vessel,Anguilla,EU,Narcotics,Detail food shoulder argue start source husband.,High,False,False,True,REG-2023-755,2023-12-20,2025-07-31,Active,2025-03-20 12:04:49.111504,2026-05-02 12:04:49.111504
SANC_00007,Gentry PLC,Individual,Burundi,OFAC,Cyber Crime,Defense material those poor central cause.,Critical,False,True,True,REG-2022-680,2023-08-03,2025-06-20,Active,2025-11-17 12:04:49.111504,2026-03-21 12:04:49.111504
SANC_00008,Deborah Richards,Vessel,Benin,EU,Cyber Crime,Human despite young meeting before another body physical.,High,True,False,True,REG-2025-538,2025-01-11,2027-02-23,Active,2025-09-01 12:04:49.112504,2026-05-15 12:04:49.112504
SANC_00009,"Henderson, Brown and James",Individual,Jamaica,UKHM,Terrorism Financing,More wife team activity result race Mr.,High,True,True,True,REG-2022-911,2025-02-17,2027-10-20,Active,2026-02-01 12:04:49.112504,2026-04-24 12:04:49.112504
SANC_00010,Gina Carter,Organization,Jamaica,UN,Terrorism Financing,Law west then enjoy.,High,False,False,True,REG-2021-400,2024-01-06,2026-04-14,Active,2026-03-04 12:04:49.112504,2026-03-12 12:04:49.112504
SANC_00011,Romero Inc,Organization,Jamaica,EU,Terrorism Financing,Fear police participant check several much single morning.,Critical,True,True,True,REG-2023-880,2024-07-05,,Active,2025-01-31 12:04:49.112504,2026-04-06 12:04:49.112504
SANC_00012,"Nguyen, Smith and Hickman",Vessel,Philippines,UKHM,Terrorism Financing,Dream drive note bad rule.,High,False,False,True,REG-2022-159,2023-06-13,,Active,2025-05-19 12:04:49.112504,2026-06-02 12:04:49.112504
SANC_00013,Philip Cannon,Organization,Anguilla,EU,Narcotics,Process water close month.,Critical,True,False,True,REG-2025-993,2025-03-07,2026-10-09,Active,2025-06-02 12:04:49.112504,2026-03-08 12:04:49.112504
SANC_00014,Brandt-Hickman,Individual,Russia,UN,Regime Sanctions,Require human public health tonight.,Critical,False,False,True,REG-2021-353,2024-09-26,,Active,2025-09-13 12:04:49.114011,2026-06-10 12:04:49.114011
SANC_00015,Wright Inc,Individual,Antarctica (the territory South of 60 deg S),EU,Terrorism Financing,Again network open according remain arrive.,High,True,True,True,REG-2021-132,2024-05-28,2025-08-08,Active,2025-06-15 12:04:49.114011,2026-05-13 12:04:49.114011
SANC_00016,Shannon Jones,Organization,Czech Republic,EU,Regime Sanctions,Everything magazine much rich think.,High,False,False,True,REG-2022-196,2023-08-04,,Active,2025-07-28 12:04:49.114011,2026-04-28 12:04:49.114011
SANC_00017,Richard Aguirre,Organization,Syria,OFAC,Terrorism Financing,Behind probably great in tell.,High,False,False,True,REG-2021-354,2024-09-02,,Active,2025-06-04 12:04:49.114011,2026-04-16 12:04:49.114011
SANC_00018,Victoria Garcia,Individual,Saint Pierre and Miquelon,UKHM,Narcotics,Rock song body court movie cell.,High,False,True,True,REG-2021-767,2023-07-25,2024-08-08,Active,2026-01-17 12:04:49.114011,2026-03-08 12:04:49.114011
SANC_00019,Ford-Baxter,Individual,Mayotte,UKHM,Regime Sanctions,Kitchen technology nearly anything.,High,False,True,True,REG-2022-488,2023-11-02,,Active,2025-08-18 12:04:49.115019,2026-05-10 12:04:49.115019
SANC_00020,Novak and Sons,Organization,Bosnia and Herzegovina,UKHM,Regime Sanctions,Image loss ten total.,High,True,False,True,REG-2022-159,2024-08-05,2027-02-11,Active,2026-02-02 12:04:49.115019,2026-03-09 12:04:49.115019
SANC_00021,William Baker,Individual,Antarctica (the territory South of 60 deg S),UKHM,Narcotics,Expect recent room situation product main couple.,High,True,True,True,REG-2021-709,2023-10-18,,Active,2025-11-05 12:04:49.115019,2026-04-22 12:04:49.115019
SANC_00022,Lauren Daniels,Vessel,Burundi,OFAC,Terrorism Financing,Arm once me system church whether.,Critical,False,False,True,REG-2022-785,2023-11-29,2025-07-30,Active,2025-10-21 12:04:49.115019,2026-04-23 12:04:49.115019
SANC_00023,Andrea Jones,Vessel,Bosnia and Herzegovina,UKHM,Cyber Crime,Identify walk now often always.,High,True,False,True,REG-2025-676,2023-08-14,2024-10-27,Active,2025-06-03 12:04:49.115019,2026-05-16 12:04:49.115019
SANC_00024,Sandoval-Cunningham,Individual,Saint Vincent and the Grenadines,OFAC,Narcotics,Various daughter respond draw how public.,Critical,False,True,True,REG-2024-953,2023-08-15,2025-06-19,Active,2025-04-26 12:04:49.116017,2026-03-21 12:04:49.116017
SANC_00025,Stewart-Walton,Vessel,Antigua and Barbuda,UN,Terrorism Financing,Act perform none beyond.,High,False,True,True,REG-2021-860,2024-02-01,2025-11-05,Active,2025-10-12 12:04:49.116017,2026-03-27 12:04:49.116017
SANC_00026,Derek Mahoney,Organization,Czech Republic,UN,Regime Sanctions,These hard citizen street.,Critical,True,True,True,REG-2024-949,2024-08-03,,Active,2026-03-04 12:04:49.116017,2026-05-01 12:04:49.116017
SANC_00027,Carr-Archer,Vessel,Saint Pierre and Miquelon,EU,Regime Sanctions,Account stage federal professional voice care break.,Critical,True,True,True,REG-2021-807,2024-12-10,2027-06-21,Active,2026-02-15 12:04:49.116017,2026-04-26 12:04:49.116017
